,var_num_peaks_2_denoise_simple,var_percentile_roll50_std_20,var_mfcc_mean18,var_mfcc_mean4,start,target
0,6210,2.697162699,-1.778087542,-11.36905781,0,1.430797186
1,6116,2.701290351,-2.464462001,-11.02753573,150000,1.391498893
2,6748,2.780604687,-2.721901781,-12.87397008,300000,1.353196095
3,6259,2.718766817,-2.21543408,-11.22847548,450000,1.313797802
4,6230,2.718617648,-2.786946343,-11.58615449,600000,1.274399509
5,6436,2.744225779,-2.519709689,-11.43942637,750000,1.236096711
6,6413,2.728868877,-2.575174835,-11.26978059,900000,1.196798418
7,5866,2.671478284,-2.283798739,-10.39014405,1050000,1.15849562
8,7254,2.827005256,-2.513442355,-12.49660563,1200000,1.119097327
9,6730,2.748356889,-2.686752331,-12.05264235,1350000,1.079699034
10,6331,2.709244097,-2.426394048,-11.35607578,1500000,1.041396236
11,7299,2.851211027,-2.597142084,-14.09764635,1650000,1.001997943
12,6873,2.805056983,-2.000217084,-14.10146004,1800000,0.96269965
13,6521,2.743856879,-2.146148345,-12.11183897,1950000,0.924396852
14,5905,2.668026353,-2.275949347,-10.56108621,2100000,0.884998559
15,7015,2.78752535,-2.096512928,-12.87999256,2250000,0.84669576
16,6350,2.715473141,-1.965432742,-11.31902014,2400000,0.807297468
17,6590,2.736559216,-2.403366099,-12.03542191,2550000,0.767999175
18,6955,2.771104589,-2.362166423,-11.74666134,2700000,0.729696376
19,6370,2.731805777,-2.234373421,-14.18933707,2850000,0.690298084
20,7202,2.822828818,-2.103875426,-13.66892089,3000000,0.650899791
21,7193,2.830432457,-2.93221923,-13.22269012,3150000,0.612596992
22,7041,2.820697483,-2.40492115,-12.96350765,3300000,0.5732987
23,6614,2.742359622,-2.653895087,-11.41042404,3450000,0.534995901
24,6879,2.754046421,-1.783896209,-11.57244054,3600000,0.495597608
25,6785,2.749325663,-2.110255988,-12.20681826,3750000,0.456199316
26,6400,2.74435101,-2.569202842,-12.1983037,3900000,0.417896517
27,6348,2.733475685,-2.114517139,-11.01811191,4050000,0.378498224
28,6700,2.768864786,-1.839211102,-11.71429116,4200000,0.339199932
29,8189,3.010935019,-1.891563295,-12.04060904,4350000,0.300897133
30,8767,3.093411304,-2.85965081,-13.32335218,4500000,0.26149884
31,7379,2.83008548,-3.051236423,-10.86916223,4650000,0.223196042
32,5225,2.61828392,-1.938779746,-7.807499085,4800000,0.183797749
33,3626,2.518050944,-1.166479385,-6.854890679,4950000,0.144499456
34,3314,2.50677033,-1.708832149,-7.841792633,5100000,0.106196657
35,2877,2.489720526,-0.811183306,-6.265937484,5250000,0.066798364
